New ID,Vendor,Charge_Date,Cardholder_Agency,PC_Number,Billing_Amount
163241,AMAZON,4/20/2023,Mayor's Office,PC-231657,43.09
163241,AMAZON,4/19/2023,Mayor's Office,PC-190931,23.99
163241,AMAZON,4/3/2023,Mayor's Office,PC-237814,35.59
163241,AMAZON,7/30/2023,Mayor's Office,PC-209153,15.32
163241,AMAZON,3/20/2023,Mayor's Office,PC-246369,24.49
163241,AMAZON,7/31/2023,Mayor's Office,PC-299478,116.43
252146,AMAZON,2/7/2023,Mayor's Office,PC-272164,275.21
163241,AMAZON,10/19/2023,Mayor's Office,PC-146115,17.77
163241,AMAZON,10/18/2023,Mayor's Office,PC-266178,19.35
163241,AMAZON,7/10/2023,Mayor's Office,PC-176228,19.88
163241,AMAZON,10/19/2023,Mayor's Office,PC-293985,10.73
163241,AMAZON,7/10/2023,Mayor's Office,PC-209235,58.03
163241,AMAZON,7/13/2023,Mayor's Office,PC-149663,13.75
163241,AMAZON,7/14/2023,Mayor's Office,PC-110723,16.81
163241,AMAZON,10/18/2023,Mayor's Office,PC-160467,15.99
247835,AMAZON,2/1/2023,Mayor's Office,PC-299415,6.84
247835,AMAZON,2/1/2023,Mayor's Office,PC-267647,95.78
163241,AMAZON,10/25/2023,Mayor's Office,PC-221171,136.03
163241,AMAZON,9/11/2023,Mayor's Office,PC-218324,10.99
163241,AMAZON,10/31/2023,Mayor's Office,PC-275874,5.73
163241,AMAZON,9/22/2023,Mayor's Office,PC-225269,96.26
